Title,Abstract,Time Stamp
FDA Takes Additional Action in Fight Against COVID-19 By Issuing Emergency Use Authorization for Second COVID-19 Vaccine,"Today, the U.S. Food and Drug Administration issued an emergency use authorization (EUA) for the second vaccine for the prevention of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The emergency use authorization allows the Moderna COVID-19 Vaccine to be distributed in the U.S. for use in individuals 18 years of age and older.",2020-12-18
Two COVID-19 vaccines are now authorized in the US; here's what we know about them,"The Moderna vaccine began arriving across the nation Monday, just three days after it was authorized for emergency use by the Food and Drug Administration. It comes on the heels of the Pfizer-BioNTech vaccine, which is being given to health care workers and nursing home residents.",2020-12-21
Covid-19: F.D.A. Clears Pfizer Vaccine and Millions of Doses Will Be Shipped Right Away,The accelerated timeline comes after President Trump’s chief of staff threatened the F.D.A. head’s job if he didn’t get it done on Friday. The Trump Administration will buy another 100 million doses of Moderna vaccine.,2020-12-15
"Pfizer to nearly halve COVID-19 vaccine production timeline, sterile injectables VP says","With an upsized production goal of 2 billion COVID-19 vaccine doses this year, Pfizer and its German partner BioNTech aren’t resting on their laurels now that their shot, Comirnaty, has emergency nods in the U.S., Europe and beyond. As the companies continue to build out capacity, manufacturing efficiency is getting its own boost, Pfizer revealed.",2021-02-08
Pfizer hopes to cut vaccine manufacturing time by almost half,"By ramping up production and being more efficient, the company expects to reduce the time it takes to produce a batch of vaccine from 110 days to around 60.",2021-02-08
Pfizer Able to Cut Vaccine Production Time,"Pfizer expects to cut its COVID-19 vaccine production time by almost 50% as the process becomes more efficient, according to USA Today.",2021-02-08
Pfizer And Moderna To Dramatically Increase Covid-19 Vaccine Production This Spring,"Covid-19 vaccine distribution rates in the U.S. are likely to accelerate in the coming months to potentially twice the amount now being administered, as vaccine manufacturers project substantial boosts in production and the White House increases the number of doses it sends out to states.",2021-02-23
Drugmakers are ramping up Covid vaccine production after fixing initial manufacturing delays,"Drugmakers are significantly ramping up Covid-19 vaccine production after working out manufacturing issues that initially delayed the first shots, executives told Congress this week.",2021-02-24
Vaccine makers Pfizer and Moderna pledge massive boost to U.S. supply after sluggish rollout,"Drug companies told lawmakers Tuesday they project a major increase in vaccine deliveries that will result in 140 million more doses over the next five weeks, saying they have solved manufacturing challenges and are in a position to overcome scarcity that has hampered the nation’s fight against the coronavirus.",2021-02-23
"Pfizer, Moderna and J&J tout supercharged COVID-19 vaccine output, eyeing nearly 140M doses by March","Pfizer, Moderna and Johnson & Johnson execs say they're working all the angles on increasing COVID-19 vaccine production and expect to amp up weekly deliveries by tens of millions by the end of March",2021-02-23
"Pfizer expects to cut COVID-19 vaccine production time by close to 50% as production ramps up, efficiencies increase","Pfizer expects to nearly cut in half the amount of time it takes to produce a batch of COVID-19 vaccine from 110 days to an average of 60 as it makes the process more efficient and production is built out, the company told USA TODAY.",2021-02-07
Moderna Increases COVID-19 Vaccine Shipments While Pfizer Lags Behind,"President Biden said last Tuesday that his administration is already working on ordering more COVID-19 vaccine doses to increase the U.S. supply through this summer. But before that can happen, Pfizer and Moderna have to fulfill their commitments under their original federal supply contracts.",2021-02-01
Pfizer Could More Than Double Its Weekly COVID-19 Vaccine Production in March,Pfizer leadership announced Friday evening that their US coronavirus 2019 (COVID-19) vaccine output will more than double from the current count of 5 million doses weekly in the coming month.,2021-02-20
"Pfizer, Moderna pledge more mRNA vaccine doses to Europe after AZ supply concerns","After a coronavirus vaccine supply feud between top officials in Europe and COVID-19 vaccine player AstraZeneca, officials there are doubling down on their purchase of an alternative technology. This week, the bloc finalized the purchase of 350 million additional mRNA vaccine doses.",2021-02-17
Report: Pfizer speeding up vaccine production,Pfizer (NYSE:PFE) is reportedly expecting to trim the time needed to produce COVID-19 vaccine batches to speed up production.,2021-02-10
BioNTech starts vaccine production at new site in Germany,Vaccine developer BioNTech has launched production of the COVID-19 vaccine it developed with US giant Pfizer at a new plant in the German town of Marburg. The facility could significantly boost the EU's vaccine supply.,2021-02-10
Pfizer's COVID-19 Vaccine 95% Effective in Final Phase 3 Results,"After initial promising interim results on November 9, Pfizer and BioNTech today announced that their mRNA vaccine, in development to prevent COVID-19, is 95% effective.",2020-11-18
Pfizer says its COVID-19 vaccine is 95% effective in final clinical trial results analysis,"Drugmaker Pfizer has provided updated analysis around its COVID-19 vaccine Phase 3 clinical trial data, saying that in the final result of its analysis of the 44,000-participant trial, its COVID-19 vaccine candidate proved 95% effective. This is a better efficacy rate than Pfizer reported previously, when it announced a 90% effectiveness metric based on preliminary analysis of the Phase 3 trial data.",2020-11-18
"Pfizer and BioNTech Conclude Phase 3 Study of COVID-19 Vaccine Candidate, Meeting All Primary Efficacy Endpoints","NEW YORK and MAINZ, GERMANY, November 18, 2020 — Pfizer Inc. (NYSE: PFE) and BioNTech SE (Nasdaq: BNTX) today announced that, after conducting the final efficacy analysis in their ongoing Phase 3 study, their mRNA-based COVID-19 vaccine candidate, BNT162b2, met all of the study’s primary efficacy endpoints. Analysis of the data indicates a vaccine efficacy rate of 95% (p<0.0001) in participants without prior SARS-CoV-2 infection (first primary objective) and also in participants with and without prior SARS-CoV-2 infection (second primary objective), in each case measured from 28 days after the first dose, 7 days after the second dose. The first primary objective analysis is based on 170 cases of COVID-19, as specified in the study protocol, of which 162 cases of COVID-19 were observed in the placebo group versus 8 cases in the BNT162b2 group. Efficacy was consistent across age, gender, race and ethnicity demographics. The observed efficacy in adults over 65 years of age was over 94%.",2020-11-18
Pfizer’s COVID-19 vaccine proves 90% effective in first results from Phase 3 clinical trial,"The COVID-19 vaccine being developed by Pfizer and its partner BioNTech has shown to be effective blocking infection in 90 percent of participants in its Phase 3 clinical trial, the companies announced on Monday. That’s based on data analyzed by an external, independent committee assigned to check the results of the trial, and reflects only early results from the trial, and not the final verified result — but it’s still extremely promising news for progress toward a viable and more broadly available vaccine.",2020-11-09
"Covid-19 vaccine from Pfizer and BioNTech is strongly effective, early data from large trial indicate","Pfizer and partner BioNTech said Monday that their vaccine against Covid-19 was strongly effective, exceeding expectations with results that are likely to be met with cautious excitement — and relief — in the face of the global pandemic.",2020-11-09
"Pfizer, BioNTech say Covid vaccine is more than 90% effective — ‘great day for science and humanity’","Pfizer and BioNTech announced Monday their coronavirus vaccine was more than 90% effective in preventing Covid-19 among those without evidence of prior infection, hailing the development as “a great day for science and humanity.”",2020-11-09
What Pfizer’s landmark COVID vaccine results mean for the pandemic,"New York City-based drug company Pfizer made the announcement on 9 November. It offers the first compelling evidence that a vaccine can prevent COVID-19 — and bodes well for other COVID-19 vaccines in development. But the information released at this early stage does not answer key questions that will determine whether the Pfizer vaccine, and others like it, can prevent the most severe cases or quell the coronavirus pandemic.",2020-11-09
Covid-19 vaccine efficacy results are not enough,"The recent results of Covid-19 vaccine clinical trials from teams at the University of Oxford and AstraZeneca, Moderna, and Pfizer and BioNTech have been some of the most exciting and promising developments in the pandemic to date.",2020-11-24
Pfizer and BioNTech Announce Publication of Results from Landmark Phase 3 Trial of BNT162b2 COVID-19 Vaccine Candidate in The New England Journal of Medicine,"NEW YORK and MAINZ, GERMANY, December 10, 2020 (GLOBE NEWSWIRE) — Pfizer Inc. (NYSE: PFE) and BioNTech SE (Nasdaq: BNTX) today announced that the New England Journal of Medicine has published safety and final efficacy results from the pivotal Phase 3 trial of BNT162b2, their mRNA-based COVID-19 vaccine candidate. In the trial of 43,448 participants, who were 16 years and older, 21,720 of whom received BNT162b2 and 21,728 placebo, the two-dose regimen of 30 mg BNT162b2, which was given 21 days apart, was well-tolerated and demonstrated vaccine efficacy of 95% against COVID-19.",2020-12-10
"Pfizer vaccine results are promising, but lack of data ‘very concerning,’ experts say","The world cheered this week after pharmaceutical companies Pfizer and BioNTech announced early findings from their phase three trial for a frontrunner COVID-19 vaccine. On November 9, the companies issued a news release claiming their vaccine candidate effectively prevented infection with the coronavirus—welcome news after soaring global cases have prompted new shutdowns and warnings of intensive care units filled to capacity.",2020-11-10
